Accident_Date,Accident_Time,Location,Accident_Location,Classification_of_Accident,Initial_Impact_Type,Environment_Condition,Light,Road_Surface_Condition,Traffic_Control,Traffic_Control_Condition,No__of_Vehicles,No__of_Bicycles,No__of_Motorcycles,No__of_Pedestrians,Max_Injury,No__of_Injuries,No__of_Minimal,No__of_Minor,No__of_Major,No__of_Fatal,Latitude,Longitude
2020-01-22,9:10 AM,GREENBANK RD @ WEST HUNT CLUB RD (0005167),02 - Intersection related,03 - P.D. only,04 - Sideswipe,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.32218387,-75.77700683
2020-01-22,9:10 AM,HIGHWAY 417 btwn HWY417 IC110 RAMP64 & HWY417 IC104 RAMP16 (__3ZA2W9),01 - Non intersection,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,3,0,0,0,,0,,,,,45.38535036,-75.58561992
2020-01-22,9:16 AM,LEMIEUX ST @ ST. LAURENT BLVD (0002021),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.422352,-75.63629129
2020-01-04,12:45 PM,CEDARVIEW RD @ KENNEVALE DR (0010465),03 - At intersection,03 - P.D. only,02 - Angle,03 - Snow,01 - Daylight,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,45.26648071,-75.77269327
2020-01-22,9:21 PM,TWIST WAY btwn EGO TERR & TRIANGLE ST (e___2HXL),04 - At/near private drive,03 - P.D. only,06 - SMV unattended vehicle,03 - Snow,07 - Dark,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.28242015,-75.89450121
2020-01-23,1:09 PM,MEADOWLANDS DR @ MERIVALE RD (0000625),02 - Intersection related,03 - P.D. only,03 - Rear end,01 - Clear,01 - Daylight,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.35089473,-75.7335092
2020-01-23,1:28 PM,STIRLING AVE btwn SCOTT ST & LADOUCEUR ST (__3ZAAI6),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,04 - Slush,10 - No control,,1,0,0,0,,0,,,,,45.40541662,-75.7277333
2020-01-23,1:32 PM,BILLINGS BRIDGE NB RAMP @ RIVERSIDE DR WB (0002619),02 - Intersection related,03 - P.D. only,02 - Angle,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.38939165,-75.67660779
2020-01-23,1:52 PM,MEADOWLANDS DR @ MERIVALE RD (0000625),03 - At intersection,02 - Non-fatal injury,05 - Turning movement,01 - Clear,01 - Daylight,01 - Dry,01 - Traffic signal,01 - Functioning,2,0,0,0,02 - Minor,1,,1,,,45.35090342,-75.7335172
2020-01-23,10:00 AM,GARLAND ST btwn SCOTT ST & LOWREY ST (__3ZAAK2),01 - Non intersection,03 - P.D. only,06 - SMV unattended vehicle,01 - Clear,01 - Daylight,06 - Ice,10 - No control,,1,0,0,0,,0,,,,,45.407137,-75.72552089
2020-01-23,10:00 PM,BANK ST @ HERON RD (0002155),03 - At intersection,03 - P.D. only,05 - Turning movement,01 - Clear,07 - Dark,02 - Wet,01 - Traffic signal,01 - Functioning,2,0,0,0,,0,,,,,45.37857168,-75.6675515
2020-01-23,10:30 PM,GRENFELL CRES @ SLACK RD (0000254),03 - At intersection,03 - P.D. only,02 - Angle,01 - Clear,07 - Dark,02 - Wet,02 - Stop sign,01 - Functioning,2,0,0,0,,0,,,,,45.32497788,-75.72153146
2020-01-23,10:58 AM,EARL ARMSTRONG RD btwn LIMEBANK RD & BOWESVILLE RD (__3ZA6LB),01 - Non intersection,03 - P.D. only,99 - Other,01 - Clear,01 - Daylight,02 - Wet,10 - No control,,2,0,0,0,,0,,,,,45.29361843,-75.63623111
